Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Region,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Previous Purchases,Payment Method,Frequency of Purchases, Frequency Per Year
1,55,Male,Blouse,Clothing,53,Kentucky,South,L,Gray,Winter,3.1,Yes,Express,14,Venmo,Fortnightly,26
2,19,Male,Sweater,Clothing,64,Maine,Northeast,L,Maroon,Winter,3.1,Yes,Express,2,Cash,Fortnightly,26
3,50,Male,Jeans,Clothing,73,Massachusetts,Northeast,S,Maroon,Spring,3.1,Yes,Free Shipping,23,Credit Card,Weekly,52
4,21,Male,Sandals,Footwear,90,Rhode Island,Northeast,M,Maroon,Spring,3.5,Yes,Next Day Air,49,PayPal,Weekly,52
5,45,Male,Blouse,Clothing,49,Oregon,West,M,Turquoise,Spring,2.7,Yes,Free Shipping,31,PayPal,Annually,1
6,46,Male,Sneakers,Footwear,20,Wyoming,West,M,White,Summer,2.9,Yes,Standard,14,Venmo,Weekly,52
7,63,Male,Shirt,Clothing,85,Montana,West,M,Gray,Fall,3.2,Yes,Free Shipping,49,Cash,Quarterly,4
8,27,Male,Shorts,Clothing,34,Louisiana,South,L,Charcoal,Winter,3.2,Yes,Free Shipping,19,Credit Card,Weekly,52
9,26,Male,Coat,Outerwear,97,West Virginia,South,L,Silver,Summer,2.6,Yes,Express,8,Venmo,Annually,1
10,57,Male,Handbag,Accessories,31,Missouri,Midwest,M,Pink,Spring,4.8,Yes,2-Day Shipping,4,Cash,Quarterly,4
11,53,Male,Shoes,Footwear,34,Arkansas,South,L,Purple,Fall,4.1,Yes,Store Pickup,26,Bank Transfer,Bi-Weekly,104
12,30,Male,Shorts,Clothing,68,Hawaii,West,S,Olive,Winter,4.9,Yes,Store Pickup,10,Bank Transfer,Fortnightly,26
13,61,Male,Coat,Outerwear,72,Delaware,South,M,Gold,Winter,4.5,Yes,Express,37,Venmo,Fortnightly,26
14,65,Male,Dress,Clothing,51,New Hampshire,Northeast,M,Violet,Spring,4.7,Yes,Express,31,PayPal,Weekly,52
15,64,Male,Coat,Outerwear,53,New York,Northeast,L,Teal,Winter,4.7,Yes,Free Shipping,34,Debit Card,Weekly,52
16,64,Male,Skirt,Clothing,81,Rhode Island,Northeast,M,Teal,Winter,2.8,Yes,Store Pickup,8,PayPal,Monthly,12
17,25,Male,Sunglasses,Accessories,36,Alabama,South,S,Gray,Spring,4.1,Yes,Next Day Air,44,Debit Card,Bi-Weekly,104
18,53,Male,Dress,Clothing,38,Mississippi,South,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,36,Venmo,Quarterly,4
19,52,Male,Sweater,Clothing,48,Montana,West,S,Black,Summer,4.6,Yes,Free Shipping,17,Cash,Weekly,52
20,66,Male,Pants,Clothing,90,Rhode Island,Northeast,M,Green,Summer,3.3,Yes,Standard,46,Debit Card,Bi-Weekly,104
21,21,Male,Pants,Clothing,51,Louisiana,South,M,Black,Winter,2.8,Yes,Express,50,Cash,Quarterly,4
22,31,Male,Pants,Clothing,62,North Carolina,South,M,Charcoal,Winter,4.1,Yes,Store Pickup,22,Debit Card,Quarterly,4
23,56,Male,Pants,Clothing,37,California,West,M,Peach,Summer,3.2,Yes,Store Pickup,32,Debit Card,Annually,1
24,31,Male,Pants,Clothing,88,Oklahoma,South,XL,White,Winter,4.4,Yes,Express,40,Credit Card,Weekly,52
25,18,Male,Jacket,Outerwear,22,Florida,South,M,Green,Fall,2.9,Yes,Store Pickup,16,Debit Card,Weekly,52
26,18,Male,Hoodie,Clothing,25,Texas,South,M,Silver,Summer,3.6,Yes,Express,14,PayPal,Annually,1
27,38,Male,Jewelry,Accessories,20,Nevada,West,M,Red,Spring,3.6,Yes,Next Day Air,13,Credit Card,Annually,1
28,56,Male,Shorts,Clothing,56,Kentucky,South,L,Cyan,Summer,5,Yes,Next Day Air,7,Bank Transfer,Quarterly,4
29,54,Male,Handbag,Accessories,94,North Carolina,South,M,Gray,Fall,4.4,Yes,Free Shipping,41,PayPal,Quarterly,4
30,31,Male,Dress,Clothing,48,Wyoming,West,S,Black,Fall,4.1,Yes,Store Pickup,14,Credit Card,Weekly,52
31,57,Male,Jewelry,Accessories,31,North Carolina,South,L,Black,Winter,4.7,Yes,Standard,16,Credit Card,Monthly,12
32,33,Male,Dress,Clothing,79,West Virginia,South,L,Brown,Winter,4.7,Yes,Store Pickup,45,Venmo,Monthly,12
33,36,Male,Jacket,Outerwear,67,Kansas,Midwest,M,Silver,Summer,4.9,Yes,Free Shipping,37,Venmo,Annually,1
34,54,Male,Pants,Clothing,38,Colorado,West,L,Green,Summer,3.3,Yes,Store Pickup,45,Cash,Quarterly,4
35,36,Male,T-shirt,Clothing,91,North Dakota,Midwest,L,Violet,Spring,4.6,Yes,2-Day Shipping,38,PayPal,Quarterly,4
36,54,Male,Blouse,Clothing,33,Massachusetts,Northeast,M,Cyan,Summer,4,Yes,2-Day Shipping,48,Credit Card,Bi-Weekly,104
37,35,Male,T-shirt,Clothing,69,Illinois,Midwest,M,Maroon,Winter,4.6,Yes,Free Shipping,44,PayPal,Fortnightly,26
38,35,Male,Jeans,Clothing,45,Indiana,Midwest,S,Cyan,Summer,2.8,Yes,Store Pickup,10,PayPal,Weekly,52
39,29,Male,Dress,Clothing,37,Florida,South,M,Red,Winter,3.7,Yes,2-Day Shipping,44,Venmo,Quarterly,4
