"Employee_ID,Department,Hours_Worked,Tasks_Completed,Overtime_Hours,Efficiency_Rating"
"101,Sales,45.0,30.0,5.0,8"
"102,Marketing,50.0,40.0,12.0,9"
"103,Hr,35.0,20.0,0.0,7"
"104,It,60.0,50.0,20.0,6"
"105,Sales,40.0,35.0,0.0,10"
"106,Marketing,42.0,38.0,3.0,8"
"107,Hr,30.0,18.0,0.0,7"
"108,It,55.0,48.0,15.0,9"
"109,Operations,48.0,33.0,8.0,7"
"110,Finance,37.0,22.0,2.0,6"
"111,Sales,41.0,34.0,1.0,8"
"112,Marketing,44.0,36.0,4.0,7"
"113,Hr,28.0,15.0,0.0,6"
"114,It,65.0,55.0,25.0,5"
"115,Operations,39.0,29.0,0.0,9"
"116,Finance,42.0,25.0,6.0,7"
"117,Sales,46.0,31.0,7.0,8"
"118,Marketing,53.0,42.0,10.0,9"
"119,Hr,44.0,17.0,0.0,7"
"120,It,58.0,52.0,18.0,6"
"121,Operations,50.0,37.0,9.0,7"
"122,Finance,40.0,23.0,1.0,8"
"123,Sales,38.0,33.0,0.0,9"
"124,Marketing,45.0,39.0,5.0,7"
"125,Hr,36.0,19.0,0.0,6"
"126,It,62.0,54.0,23.0,5"
"127,Operations,43.0,32.0,4.0,8"
"128,Finance,47.0,26.0,3.0,7"
"129,Sales,49.0,36.0,6.0,8"
"130,Marketing,51.0,41.0,9.0,9"
"131,Hr,29.0,16.0,0.0,7"
"132,It,61.0,53.0,22.0,6"
"133,Operations,48.0,35.0,8.0,8"
"134,Finance,39.0,24.0,2.0,7"
"135,Sales,44.0,30.0,3.0,9"
"136,Marketing,46.0,38.0,6.0,7"
"137,Hr,31.0,14.0,0.0,6"
"138,It,63.0,56.0,24.0,5"
"139,Operations,42.0,30.0,5.0,8"
"140,Finance,41.0,28.0,1.0,7"
"141,It,70.0,60.0,28.0,6"
"142,Sales,45.0,33.0,6.0,7"
"143,Finance,40.0,22.0,3.0,7"
"144,Marketing,44.0,40.0,9.0,8"
"145,Hr,35.0,20.0,0.0,7"
"146,Sales,48.0,30.0,10.0,8"
"147,Operations,46.0,38.0,4.0,9"
"148,Finance,37.0,33.0,6.0,7"
"149,Marketing,52.0,41.0,10.0,9"
"150,Hr,30.0,16.0,0.0,6"
"151,Sales,49.0,34.0,7.0,8"
"152,It,66.0,57.0,25.0,5"
"153,Operations,40.0,32.0,0.0,8"
"154,Finance,38.0,21.0,2.0,7"
"155,Marketing,42.0,34.0,5.0,8"
"156,Hr,28.0,14.0,0.0,6"
"157,It,63.0,55.0,23.0,5"
"158,Finance,45.0,26.0,3.0,8"
"159,Sales,41.0,30.0,2.0,7"
"160,Operations,50.0,39.0,8.0,9"
"161,Marketing,47.0,40.0,7.0,8"
"162,Hr,34.0,18.0,0.0,7"
"163,It,64.0,58.0,24.0,6"
"164,Finance,39.0,23.0,1.0,7"
"165,Sales,46.0,31.0,6.0,8"
"166,Marketing,44.0,33.0,5.0,7"
"167,Operations,49.0,37.0,8.0,9"
"168,Finance,41.0,25.0,3.0,7"
"169,Sales,42.0,33.0,1.0,8"
"170,Marketing,48.0,40.0,9.0,9"
"171,Hr,29.0,15.0,0.0,7"
"172,It,60.0,54.0,22.0,6"
"173,Operations,45.0,34.0,7.0,8"
"174,Finance,37.0,22.0,2.0,6"
"175,Sales,40.0,35.0,4.0,8"
"176,Marketing,42.0,36.0,6.0,7"
"177,Hr,30.0,18.0,0.0,6"
"178,It,65.0,56.0,25.0,5"
"179,Operations,46.0,30.0,8.0,7"
"180,Finance,39.0,24.0,1.0,7"
"181,Sales,45.0,32.0,5.0,8"
"182,Marketing,50.0,41.0,8.0,9"
"183,Hr,44.0,19.0,0.0,7"
"184,It,60.0,53.0,21.0,6"
"185,Finance,38.0,25.0,1.0,7"
"186,Sales,43.0,31.0,6.0,8"
"187,Marketing,47.0,38.0,7.0,8"
"188,Operations,50.0,35.0,9.0,9"
"189,Finance,41.0,24.0,1.0,7"
"190,Sales,44.0,34.0,2.0,9"
